"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Antonio Brown",8600,"Ind@Pit 08:30PM ET",23.455,"Pit"
"WR","Dez Bryant",7500,"Dal@Was 08:30PM ET",11.000,"Dal"
"QB","Ben Roethlisberger",6600,"Ind@Pit 08:30PM ET",22.460,"Pit"
"WR","T.Y. Hilton",5700,"Ind@Pit 08:30PM ET",15.082,"Ind"
"RB","DeAngelo Williams",5600,"Ind@Pit 08:30PM ET",12.982,"Pit"
"WR","Martavis Bryant",5600,"Ind@Pit 08:30PM ET",20.350,"Pit"
"QB","Matt Hasselbeck",5300,"Ind@Pit 08:30PM ET",17.555,"Ind"
"RB","Darren McFadden",5300,"Dal@Was 08:30PM ET",13.009,"Dal"
"TE","Jordan Reed",5300,"Dal@Was 08:30PM ET",15.900,"Was"
"QB","Kirk Cousins",5200,"Dal@Was 08:30PM ET",17.880,"Was"
"QB","Matt Cassel",5100,"Dal@Was 08:30PM ET",10.097,"Dal"
"WR","DeSean Jackson",5100,"Dal@Was 08:30PM ET",9.040,"Was"
"QB","Mike Vick",5000,"Ind@Pit 08:30PM ET",6.348,"Pit"
"QB","Charlie Whitehurst",5000,"Ind@Pit 08:30PM ET",0.000,"Ind"
"QB","Colt McCoy",5000,"Dal@Was 08:30PM ET",0.000,"Was"
"QB","Landry Jones",5000,"Ind@Pit 08:30PM ET",5.444,"Pit"
"QB","Robert Griffin III",5000,"Dal@Was 08:30PM ET",0,"Was"
"TE","Jason Witten",4700,"Dal@Was 08:30PM ET",10.618,"Dal"
"WR","Donte Moncrief",4600,"Ind@Pit 08:30PM ET",13.309,"Ind"
"RB","Frank Gore",4300,"Ind@Pit 08:30PM ET",12.100,"Ind"
"WR","Pierre Garcon",4200,"Dal@Was 08:30PM ET",10.709,"Was"
"WR","Terrance Williams",4100,"Dal@Was 08:30PM ET",9.100,"Dal"
"RB","Matt Jones",3800,"Dal@Was 08:30PM ET",10.280,"Was"
"RB","Alfred Morris",3700,"Dal@Was 08:30PM ET",6.064,"Was"
"WR","Cole Beasley",3600,"Dal@Was 08:30PM ET",8.836,"Dal"
"WR","Markus Wheaton",3600,"Ind@Pit 08:30PM ET",8.127,"Pit"
"RB","Robert Turbin",3500,"Dal@Was 08:30PM ET",3.160,"Dal"
"WR","Jamison Crowder",3500,"Dal@Was 08:30PM ET",8.645,"Was"
"WR","Andre Johnson",3300,"Ind@Pit 08:30PM ET",6.936,"Ind"
"RB","Tyler Clutts",3000,"Dal@Was 08:30PM ET",0.127,"Dal"
"WR","Darrius Heyward-Bey",3000,"Ind@Pit 08:30PM ET",4.536,"Pit"
"RB","Darrel Young",3000,"Dal@Was 08:30PM ET",0.427,"Was"
"WR","Jacoby Jones",3000,"Ind@Pit 08:30PM ET",0.000,"Pit"
"RB","Daniel Herron",3000,"Ind@Pit 08:30PM ET",1.740,"Ind"
"TE","Coby Fleener",3000,"Ind@Pit 08:30PM ET",8.018,"Ind"
"RB","Will Johnson",3000,"Ind@Pit 08:30PM ET",0.936,"Pit"
"WR","Brice Butler",3000,"Dal@Was 08:30PM ET",3.450,"Dal"
"WR","Griff Whalen",3000,"Ind@Pit 08:30PM ET",3.518,"Ind"
"RB","Jordan Todman",3000,"Ind@Pit 08:30PM ET",0.200,"Pit"
"WR","Ryan Grant",3000,"Dal@Was 08:30PM ET",4.118,"Was"
"RB","Fitzgerald Toussaint",3000,"Ind@Pit 08:30PM ET",0,"Pit"
"WR","Devin Street",3000,"Dal@Was 08:30PM ET",1.773,"Dal"
"RB","Roosevelt Nix",3000,"Ind@Pit 08:30PM ET",0.327,"Pit"
"RB","Rod Smith",3000,"Dal@Was 08:30PM ET",0.350,"Dal"
"WR","Quan Bray",3000,"Ind@Pit 08:30PM ET",0.000,"Ind"
"WR","Sammie Coates",3000,"Ind@Pit 08:30PM ET",0.300,"Pit"
"WR","Rashad Ross",3000,"Dal@Was 08:30PM ET",2.325,"Was"
"RB","Trey Williams",3000,"Dal@Was 08:30PM ET",0,"Dal"
"WR","Lucky Whitehead",3000,"Dal@Was 08:30PM ET",0.860,"Dal"
"DST","Steelers ",2800,"Ind@Pit 08:30PM ET",7.727,"Pit"
"DST","Cowboys ",2600,"Dal@Was 08:30PM ET",5.545,"Dal"
"TE","Matt Spaeth",2500,"Ind@Pit 08:30PM ET",0.375,"Pit"
"TE","James Hanna",2500,"Dal@Was 08:30PM ET",0.478,"Dal"
"TE","Dwayne Allen",2500,"Ind@Pit 08:30PM ET",3.122,"Ind"
"TE","Jack Doyle",2500,"Ind@Pit 08:30PM ET",1.927,"Ind"
"TE","Gavin Escobar",2500,"Dal@Was 08:30PM ET",1.764,"Dal"
"TE","Je'Ron Hamm",2500,"Dal@Was 08:30PM ET",0,"Was"
"TE","Jesse James",2500,"Ind@Pit 08:30PM ET",4.767,"Pit"
"TE","Geoff Swaim",2500,"Dal@Was 08:30PM ET",0.500,"Dal"
"DST","Redskins ",2300,"Dal@Was 08:30PM ET",7.727,"Was"
"DST","Colts ",2200,"Ind@Pit 08:30PM ET",7.091,"Ind"
