Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
QB,Tom Brady,8000,Phi@NE 04:25PM ET,25.709,NE
QB,Cam Newton,7400,Car@NO 04:25PM ET,23.213,Car
WR,Demaryius Thomas,7200,Den@SD 04:05PM ET,16.645,Den
QB,Drew Brees,6900,Car@NO 04:25PM ET,21.99,NO
WR,Amari Cooper,6900,KC@Oak 04:05PM ET,16.227,Oak
QB,Philip Rivers,6600,Den@SD 04:05PM ET,22.667,SD
WR,Emmanuel Sanders,6500,Den@SD 04:05PM ET,16.02,Den
WR,Michael Crabtree,6500,KC@Oak 04:05PM ET,16.136,Oak
TE,Greg Olsen,6400,Car@NO 04:25PM ET,15.8,Car
RB,Mark Ingram,6400,Car@NO 04:25PM ET,17.045,NO
WR,Brandin Cooks,6300,Car@NO 04:25PM ET,15.309,NO
QB,Derek Carr,6200,KC@Oak 04:05PM ET,20.6,Oak
RB,DeMarco Murray,5800,Phi@NE 04:25PM ET,15.5,Phi
WR,Jordan Matthews,5800,Phi@NE 04:25PM ET,13.045,Phi
RB,Jonathan Stewart,5300,Car@NO 04:25PM ET,12.327,Car
WR,Jeremy Maclin,5200,KC@Oak 04:05PM ET,16.1,KC
QB,Brock Osweiler,5200,Den@SD 04:05PM ET,10.81,Den
RB,Charcandrick West,5200,KC@Oak 04:05PM ET,9.72,KC
QB,Alex Smith,5100,KC@Oak 04:05PM ET,17.595,KC
QB,Mark Sanchez,5100,Phi@NE 04:25PM ET,12.613,Phi
QB,Sam Bradford,5100,Phi@NE 04:25PM ET,14.887,Phi
RB,LeGarrette Blount,5100,Phi@NE 04:25PM ET,11.49,NE
QB,Derek Anderson,5000,Car@NO 04:25PM ET,0.2,Car
QB,Kellen Clemens,5000,Den@SD 04:05PM ET,6.52,SD
QB,Matt Flynn,5000,Car@NO 04:25PM ET,0,NO
QB,Joe Webb,5000,Car@NO 04:25PM ET,-0.009,Car
QB,Chase Daniel,5000,KC@Oak 04:05PM ET,0.16,KC
QB,Christian Ponder,5000,Den@SD 04:05PM ET,0,Den
QB,Thaddeus Lewis,5000,Phi@NE 04:25PM ET,0,Phi
QB,Matt McGloin,5000,KC@Oak 04:05PM ET,5.84,Oak
QB,Aaron Murray,5000,KC@Oak 04:05PM ET,0,KC
QB,Garrett Grayson,5000,Car@NO 04:25PM ET,0,NO
QB,Trevor Siemian,5000,Den@SD 04:05PM ET,0,Den
QB,Jimmy Garoppolo,5000,Phi@NE 04:25PM ET,-0.125,NE
TE,Antonio Gates,4900,Den@SD 04:05PM ET,15.683,SD
RB,Spencer Ware,4900,KC@Oak 04:05PM ET,9.167,KC
WR,Brandon LaFell,4800,Phi@NE 04:25PM ET,9.7,NE
RB,Danny Woodhead,4800,Den@SD 04:05PM ET,14.855,SD
RB,Latavius Murray,4800,KC@Oak 04:05PM ET,13.464,Oak
WR,Stevie Johnson,4700,Den@SD 04:05PM ET,12.522,SD
TE,Travis Kelce,4700,KC@Oak 04:05PM ET,13.718,KC
RB,Ronnie Hillman,4500,Den@SD 04:05PM ET,10.636,Den
TE,Benjamin Watson,4400,Car@NO 04:25PM ET,12.127,NO
WR,Devin Funchess,3700,Car@NO 04:25PM ET,5.318,Car
WR,Ted Ginn Jr.,3600,Car@NO 04:25PM ET,9.455,Car
WR,Malcom Floyd,3600,Den@SD 04:05PM ET,8.21,SD
WR,Seth Roberts,3600,KC@Oak 04:05PM ET,7.564,Oak
DST,Panthers ,3500,Car@NO 04:25PM ET,11.273,Car
RB,Knile Davis,3500,KC@Oak 04:05PM ET,1.733,KC
RB,C.J. Anderson,3500,Den@SD 04:05PM ET,10.073,Den
DST,Broncos ,3400,Den@SD 04:05PM ET,12,Den
DST,Patriots ,3400,Phi@NE 04:25PM ET,7.909,NE
RB,Darren Sproles,3400,Phi@NE 04:25PM ET,8.782,Phi
RB,Melvin Gordon,3400,Den@SD 04:05PM ET,8.182,SD
RB,Marcel Reece,3300,KC@Oak 04:05PM ET,5.818,Oak
RB,James White,3300,Phi@NE 04:25PM ET,4.111,NE
WR,Marques Colston,3200,Car@NO 04:25PM ET,8.81,NO
WR,Jerricho Cotchery,3200,Car@NO 04:25PM ET,6.956,Car
WR,Dontrelle Inman,3200,Den@SD 04:05PM ET,5.96,SD
WR,Josh Huff,3200,Phi@NE 04:25PM ET,6.04,Phi
WR,Nelson Agholor,3200,Phi@NE 04:25PM ET,3.913,Phi
DST,Chiefs ,3000,KC@Oak 04:05PM ET,9.273,KC
WR,Jason Avant,3000,KC@Oak 04:05PM ET,1.836,KC
TE,Vernon Davis,3000,Den@SD 04:05PM ET,5.71,Den
WR,Miles Austin,3000,Phi@NE 04:25PM ET,3.764,Phi
WR,Andre Caldwell,3000,Den@SD 04:05PM ET,2.655,Den
TE,Brent Celek,3000,Phi@NE 04:25PM ET,6.4,Phi
WR,Matthew Slater,3000,Phi@NE 04:25PM ET,0,NE
RB,Tim Hightower,3000,Car@NO 04:25PM ET,1.533,NO
RB,Mike Tolbert,3000,Car@NO 04:25PM ET,4.691,Car
WR,Seyi Ajirotutu,3000,Phi@NE 04:25PM ET,0.14,Phi
RB,Donald Brown,3000,Den@SD 04:05PM ET,0.3,SD
WR,Jordan Norwood,3000,Den@SD 04:05PM ET,2.971,Den
WR,Riley Cooper,3000,Phi@NE 04:25PM ET,4.845,Phi
WR,Jeremy Ross,3000,KC@Oak 04:05PM ET,2.5,Oak
RB,C.J. Spiller,3000,Car@NO 04:25PM ET,7.24,NO
RB,Fozzy Whittaker,3000,Car@NO 04:25PM ET,1.355,Car
RB,Anthony Sherman,3000,KC@Oak 04:05PM ET,0.3,KC
RB,Roy Helu Jr.,3000,KC@Oak 04:05PM ET,2.729,Oak
RB,Kenjon Barner,3000,Phi@NE 04:25PM ET,1.3,Phi
WR,Brenton Bersin,3000,Car@NO 04:25PM ET,2.05,Car
WR,Frankie Hammond Jr.,3000,KC@Oak 04:05PM ET,0,KC
WR,T.J. Graham,3000,Car@NO 04:25PM ET,1.8,NO
WR,Keshawn Martin,3000,Phi@NE 04:25PM ET,5.825,NE
RB,Brandon Bolden,3000,Phi@NE 04:25PM ET,3.72,NE
TE,Ladarius Green,3000,Den@SD 04:05PM ET,10.133,SD
RB,Brandon Wegher,3000,Car@NO 04:25PM ET,0,Car
WR,Kevin Norwood,3000,Car@NO 04:25PM ET,0,Car
WR,Bennie Fowler,3000,Den@SD 04:05PM ET,2.773,Den
WR,Rod Streater,3000,KC@Oak 04:05PM ET,1.8,Oak
RB,Marcus Murphy,3000,Car@NO 04:25PM ET,0.455,NO
WR,Javontee Herndon,3000,Den@SD 04:05PM ET,3.3,SD
WR,Jonathan Krause,3000,Phi@NE 04:25PM ET,0,Phi
RB,Juwan Thompson,3000,Den@SD 04:05PM ET,0.39,Den
WR,Brandon Coleman,3000,Car@NO 04:25PM ET,3.845,NO
WR,Albert Wilson,3000,KC@Oak 04:05PM ET,5.889,KC
WR,Andre Holmes,3000,KC@Oak 04:05PM ET,4.273,Oak
RB,Jamize Olawale,3000,KC@Oak 04:05PM ET,3.256,Oak
WR,Corey Brown,3000,Car@NO 04:25PM ET,6.8,Car
WR,Chris Conley,3000,KC@Oak 04:05PM ET,3.518,KC
WR,Cody Latimer,3000,Den@SD 04:05PM ET,1.84,Den
WR,Tyrell Williams,3000,Den@SD 04:05PM ET,0,SD
WR,Chris Harper,3000,Phi@NE 04:25PM ET,-0.333,NE
RB,Cameron Artis-Payne,3000,Car@NO 04:25PM ET,0.775,Car
TE,Owen Daniels,2900,Den@SD 04:05PM ET,8.2,Den
TE,Zach Ertz,2600,Phi@NE 04:25PM ET,7.74,Phi
TE,Scott Chandler,2500,Phi@NE 04:25PM ET,5.164,NE
TE,David Johnson,2500,Den@SD 04:05PM ET,0.018,SD
TE,Ed Dickson,2500,Car@NO 04:25PM ET,2.909,Car
TE,Virgil Green,2500,Den@SD 04:05PM ET,2.536,Den
TE,John Phillips,2500,Den@SD 04:05PM ET,1.745,SD
TE,Richard Gordon,2500,Den@SD 04:05PM ET,0,Den
TE,Michael Hoomanawanui,2500,Car@NO 04:25PM ET,2.511,NO
TE,Lee Smith,2500,KC@Oak 04:05PM ET,1.48,Oak
TE,Mychal Rivera,2500,KC@Oak 04:05PM ET,3.691,Oak
TE,Josh Hill,2500,Car@NO 04:25PM ET,2.791,NO
TE,James Winchester,2500,KC@Oak 04:05PM ET,0,KC
TE,Gabe Holmes,2500,KC@Oak 04:05PM ET,0,Oak
TE,Trey Burton,2500,Phi@NE 04:25PM ET,0.627,Phi
TE,Clive Walford,2500,KC@Oak 04:05PM ET,4.191,Oak
TE,Asante Cleveland,2500,Phi@NE 04:25PM ET,1.1,NE
TE,Brian Parker,2500,KC@Oak 04:05PM ET,0.4,KC
TE,Scott Simonson,2500,Car@NO 04:25PM ET,0,Car
TE,Demetrius Harris,2500,KC@Oak 04:05PM ET,0.736,KC
DST,Raiders ,2300,KC@Oak 04:05PM ET,5.818,Oak
DST,Eagles ,2300,Phi@NE 04:25PM ET,8,Phi
DST,Chargers ,2300,Den@SD 04:05PM ET,3.909,SD
DST,Saints ,2000,Car@NO 04:25PM ET,4.727,NO
